Episode,Total Reward,Goal Reached
1,-113.0,False
2,-28.0,False
3,82.0,True
4,82.0,True
5,-29.0,False
6,81.0,True
7,-29.0,False
8,-28.0,False
9,82.0,True
10,-28.0,False
11,82.0,True
12,82.0,True
13,81.0,True
14,81.0,True
15,81.0,True
16,-29.0,False
17,-28.0,False
18,-29.0,False
19,-28.0,False
20,-29.0,False
21,82.0,True
22,82.0,True
23,-113.0,False
24,-29.0,False
25,82.0,True
26,82.0,True
27,82.0,True
28,83.0,True
29,-28.0,False
30,82.0,True
31,82.0,True
32,-113.0,False
33,82.0,True
34,82.0,True
35,82.0,True
36,81.0,True
37,81.0,True
38,82.0,True
39,81.0,True
40,82.0,True
41,82.0,True
42,82.0,True
43,82.0,True
44,-28.0,False
